date,industrial_sector,chrobinson,spstock
2019-05-21,71.4206771850586,75.5537109375,2864.360107
2019-05-22,70.8342590332031,74.8986511230469,2856.27002
2019-05-23,69.7560043334961,74.4926910400391,2822.23999
2019-05-24,69.7843704223633,73.551628112793,2826.060059
2019-05-28,69.1411895751953,72.8965835571289,2802.389893
2019-05-29,68.8290481567383,73.5239639282227,2783.02002
2019-05-30,69.0938949584961,72.6935958862305,2788.860107
2019-05-31,68.1480484008789,73.4685821533203,2752.060059
2019-06-03,68.6115188598633,73.6254425048828,2744.449951
2019-06-04,70.2478103637695,74.0313873291016,2803.27002
2019-06-05,70.9288482666016,74.7325820922852,2826.149902
2019-06-06,71.0517883300781,73.8599395751953,2843.48999
2019-06-07,71.6193084716797,73.9806213378906,2873.340088
2019-06-10,71.7138900756836,74.4540786743164,2886.72998
2019-06-11,71.0990753173828,74.6490325927734,2885.719971
2019-06-12,71.2504425048828,76.3293685913086,2879.840088
2019-06-13,71.6098327636719,77.5826263427734,2891.639893
2019-06-14,71.3260955810547,77.7033233642578,2886.97998
2019-06-17,71.0801696777344,76.3943481445313,2889.669922
2019-06-18,72.4611053466797,77.5176467895508,2917.75
2019-06-19,72.4043502807617,77.39697265625,2926.459961
2019-06-20,73.6150207519531,77.9818267822266,2954.179932
2019-06-21,73.2227172851563,77.0813217163086,2950.459961
2019-06-24,73.0802154541016,76.9327926635742,2945.350098
2019-06-25,72.5292282104492,76.8121032714844,2917.379883
2019-06-26,72.7097244262695,77.3505554199219,2913.780029
2019-06-27,72.7762145996094,78.1396408081055,2924.919922
2019-06-28,73.5457000732422,78.306755065918,2941.76001
2019-07-01,73.612190246582,78.2696151733398,2964.330078
2019-07-02,73.5171890258789,77.6383438110352,2973.01001
2019-07-03,73.9256744384766,78.9473419189453,2995.820068
2019-07-05,73.6311798095703,78.8173446655273,2990.409912
2019-07-08,73.0232086181641,77.9075546264648,2975.949951
2019-07-09,72.8617095947266,77.229866027832,2979.629883
2019-07-10,72.6907424926758,76.3014984130859,2993.070068
2019-07-11,73.1847076416016,76.9049377441406,2999.909912
2019-07-12,74.4671478271484,78.9658889770508,3013.77002
2019-07-15,74.1631469726563,78.4552917480469,3014.300049
2019-07-16,74.6381378173828,78.8637619018555,3004.040039
2019-07-17,73.0422134399414,76.3572082519531,2984.419922
2019-07-18,73.1752014160156,76.5521545410156,2995.110107
2019-07-19,73.5741729736328,77.6569137573242,2976.610107
2019-07-22,73.6311798095703,77.2577209472656,2985.030029
2019-07-23,74.5621490478516,77.4341278076172,3005.469971
