"Series Id,Year,Period,Value"
"CUUR0000SETB,2001,M08,121.9"
"CUUR0000SETB,2001,M09,131.4"
"CUUR0000SETB,2001,M10,116.3"
"CUUR0000SETB,2001,M11,104.5"
"CUUR0000SETB,2001,M12,96.1"
"CUUS0000SETB,2001,S01,133.4"
"CUUS0000SETB,2001,S02,116.0"
"CUUR0000SETB,2002,M01,97.9"
"CUUR0000SETB,2002,M02,98.2"
"CUUR0000SETB,2002,M03,107.7"
"CUUR0000SETB,2002,M04,121.4"
"CUUR0000SETB,2002,M05,121.4"
"CUUR0000SETB,2002,M06,120.1"
"CUUR0000SETB,2002,M07,120.8"
"CUUR0000SETB,2002,M08,121.5"
"CUUR0000SETB,2002,M09,121.7"
"CUUR0000SETB,2002,M10,124.5"
"CUUR0000SETB,2002,M11,124.4"
"CUUR0000SETB,2002,M12,119.7"
"CUUS0000SETB,2002,S01,111.1"
"CUUS0000SETB,2002,S02,122.1"
"CUUR0000SETB,2003,M01,126.3"
"CUUR0000SETB,2003,M02,140.4"
"CUUR0000SETB,2003,M03,148.1"
"CUUR0000SETB,2003,M04,140.6"
"CUUR0000SETB,2003,M05,131.3"
"CUUR0000SETB,2003,M06,130.1"
"CUUR0000SETB,2003,M07,130.6"
"CUUR0000SETB,2003,M08,139.0"
"CUUR0000SETB,2003,M09,147.1"
"CUUR0000SETB,2003,M10,136.6"
"CUUR0000SETB,2003,M11,131.2"
"CUUR0000SETB,2003,M12,127.8"
"CUUS0000SETB,2003,S01,136.1"
"CUUS0000SETB,2003,S02,135.4"
"CUUR0000SETB,2004,M01,136.7"
"CUUR0000SETB,2004,M02,143.1"
"CUUR0000SETB,2004,M03,150.5"
"CUUR0000SETB,2004,M04,155.9"
"CUUR0000SETB,2004,M05,170.5"
"CUUR0000SETB,2004,M06,173.3"
"CUUR0000SETB,2004,M07,165.2"
"CUUR0000SETB,2004,M08,162.0"
"CUUR0000SETB,2004,M09,161.2"
"CUUR0000SETB,2004,M10,173.1"
"CUUR0000SETB,2004,M11,171.9"
"CUUR0000SETB,2004,M12,161.2"
"CUUS0000SETB,2004,S01,155.0"
"CUUS0000SETB,2004,S02,165.8"
"CUUR0000SETB,2005,M01,156.4"
"CUUR0000SETB,2005,M02,164.3"
"CUUR0000SETB,2005,M03,175.9"
"CUUR0000SETB,2005,M04,193.9"
"CUUR0000SETB,2005,M05,188.2"
"CUUR0000SETB,2005,M06,185.5"
"CUUR0000SETB,2005,M07,197.5"
"CUUR0000SETB,2005,M08,212.7"
"CUUR0000SETB,2005,M09,249.5"
"CUUR0000SETB,2005,M10,237.1"
"CUUR0000SETB,2005,M11,199.7"
"CUUR0000SETB,2005,M12,187.3"
"CUUS0000SETB,2005,S01,177.4"
"CUUS0000SETB,2005,S02,214.0"
"CUUR0000SETB,2006,M01,199.2"
"CUUR0000SETB,2006,M02,198.1"
"CUUR0000SETB,2006,M03,205.8"
"CUUR0000SETB,2006,M04,235.4"
"CUUR0000SETB,2006,M05,250.9"
"CUUR0000SETB,2006,M06,248.4"
"CUUR0000SETB,2006,M07,255.6"
"CUUR0000SETB,2006,M08,254.4"
"CUUR0000SETB,2006,M09,220.1"
"CUUR0000SETB,2006,M10,193.8"
"CUUR0000SETB,2006,M11,191.4"
"CUUR0000SETB,2006,M12,199.3"
"CUUS0000SETB,2006,S01,223.0"
"CUUS0000SETB,2006,S02,219.1"
"CUUR0000SETB,2007,M01,193.900"
"CUUR0000SETB,2007,M02,195.377"
"CUUR0000SETB,2007,M03,220.515"
"CUUR0000SETB,2007,M04,242.944"
"CUUR0000SETB,2007,M05,265.781"
"CUUR0000SETB,2007,M06,260.655"
"CUUR0000SETB,2007,M07,252.909"
"CUUR0000SETB,2007,M08,238.194"
"CUUR0000SETB,2007,M09,239.104"
"CUUR0000SETB,2007,M10,239.048"
"CUUR0000SETB,2007,M11,262.282"
"CUUR0000SETB,2007,M12,258.132"
"CUUS0000SETB,2007,S01,229.862"
"CUUS0000SETB,2007,S02,248.278"
"CUUR0000SETB,2008,M01,260.523"
"CUUR0000SETB,2008,M02,259.242"
"CUUR0000SETB,2008,M03,278.739"
"CUUR0000SETB,2008,M04,294.291"
"CUUR0000SETB,2008,M05,322.124"
"CUUR0000SETB,2008,M06,347.418"
"CUUR0000SETB,2008,M07,349.731"
"CUUR0000SETB,2008,M08,323.822"
"CUUR0000SETB,2008,M09,315.078"
"CUUR0000SETB,2008,M10,268.537"
"CUUR0000SETB,2008,M11,187.189"
"CUUR0000SETB,2008,M12,149.132"
"CUUS0000SETB,2008,S01,293.723"
"CUUS0000SETB,2008,S02,265.582"
"CUUR0000SETB,2009,M01,156.604"
"CUUR0000SETB,2009,M02,167.395"
"CUUR0000SETB,2009,M03,168.404"
"CUUR0000SETB,2009,M04,177.272"
"CUUR0000SETB,2009,M05,193.609"
"CUUR0000SETB,2009,M06,225.021"
"CUUR0000SETB,2009,M07,217.860"
"CUUR0000SETB,2009,M08,225.089"
"CUUR0000SETB,2009,M09,220.690"
"CUUR0000SETB,2009,M10,219.015"
"CUUR0000SETB,2009,M11,228.050"
"CUUR0000SETB,2009,M12,224.730"
"CUUS0000SETB,2009,S01,181.384"
"CUUS0000SETB,2009,S02,222.572"
"CUUR0000SETB,2010,M01,234.106"
"CUUR0000SETB,2010,M02,227.674"
"CUUR0000SETB,2010,M03,237.671"
"CUUR0000SETB,2010,M04,244.801"
"CUUR0000SETB,2010,M05,246.671"
"CUUR0000SETB,2010,M06,234.868"
"CUUR0000SETB,2010,M07,234.642"
"CUUR0000SETB,2010,M08,235.690"
"CUUR0000SETB,2010,M09,232.518"
"CUUR0000SETB,2010,M10,240.303"
