date,energy_sector,oxy,spstock
2019-08-14,56.6300010681152,43.7000007629395,2840.600098
2019-08-15,56.2799987792969,43.9599990844727,2847.600098
2019-08-16,57.0200004577637,44.5699996948242,2888.679932
2019-08-19,58.2799987792969,45.5800018310547,2923.649902
2019-08-20,57.7900009155273,45.2599983215332,2900.51001
2019-08-21,58.1599998474121,45.060001373291,2924.429932
2019-08-22,57.9000015258789,44.7000007629395,2922.949951
2019-08-23,55.9599990844727,42.3699989318848,2847.110107
2019-08-26,56.2000007629395,42.1300010681152,2878.379883
2019-08-27,55.8499984741211,42.3499984741211,2869.159912
2019-08-28,56.6500015258789,43.1100006103516,2887.939941
2019-08-29,57.4799995422363,43.3699989318848,2924.580078
2019-08-30,57.4799995422363,43.4799995422363,2926.459961
2019-09-03,57.2000007629395,42.6800003051758,2906.27002
2019-09-04,58,43.5800018310547,2937.780029
2019-09-05,58.7200012207031,45.0900001525879,2976
2019-09-06,59.0299987792969,45.4599990844727,2978.709961
2019-09-09,60.2099990844727,44.9700012207031,2978.429932
2019-09-10,60.9199981689453,46.4300003051758,2979.389893
2019-09-11,60.9799995422363,46.2900009155273,3000.929932
2019-09-12,60.5999984741211,45.4000015258789,3009.570068
2019-09-13,61.0800018310547,45.0900001525879,3007.389893
2019-09-16,63.1300010681152,47.7999992370605,2997.959961
2019-09-17,62.25,45.1500015258789,3005.699951
2019-09-18,61.9500007629395,44.6199989318848,3006.72998
2019-09-19,61.7900009155273,45.7900009155273,3006.790039
2019-09-20,61.2799987792969,45.7000007629395,2992.070068
2019-09-23,61.2999992370605,45.5,2991.780029
2019-09-24,60.3300018310547,45.4700012207031,2966.600098
2019-09-25,60.4300003051758,45.3300018310547,2984.870117
2019-09-26,59.6399993896484,45.3499984741211,2977.620117
2019-09-27,59.6300010681152,45.1399993896484,2961.790039
2019-09-30,59.2000007629395,44.4700012207031,2976.73999
2019-10-01,57.8300018310547,43.7700004577637,2940.25
2019-10-02,56.4099998474121,42.939998626709,2887.610107
2019-10-03,57.0200004577637,43.2000007629395,2910.629883
2019-10-04,57.3800010681152,43.0699996948242,2952.01001
2019-10-07,56.8699989318848,42.1800003051758,2938.790039
2019-10-08,55.9000015258789,40.8300018310547,2893.060059
2019-10-09,56.4099998474121,40.8400001525879,2919.399902
